States,Income,Consumption expenditure,Surplus,,
All India,8059,6646,1413,,
Andhra Pradesh,5842,5746,95,,
Arunachal Pradesh,9877,7722,2155,,
Assam ,8880,6814,2066,,
Bihar ,6277,6015,262,,
Chhattisgarh,7272,5607,1665,,
Goa,10758,9445,1313,,
Gujarat,10518,7490,3028,,
Haryana,12072,8646,3426,,
Himachal Pradesh,11702,8556,3146,,
Jammu,10747,9343,1404,,
Jharkhand,5854,5544,310,,
Karnataka,8383,6882,1502,,
Kerala,15130,11156,3975,,
Madhya Pradesh,6632,5675,956,,
Maharashtra,8938,6821,2117,,
Manipur,9679,8617,1062,,
Meghalaya,10061,8242,1819,,
Mizoram,9491,8561,930,,
Nagaland,10002,8976,1026,,
Odisha,7241,5613,1628,,
Punjab,16020,11707,4314,,
Rajasthan,8338,7039,1299,,
Sikkim,8560,8246,314,,
Tamil Nadu,9716,7381,2335,,
Telangana,7811,6813,998,,
Tripura,8612,7980,632,,
Uttar Pradesh,6257,5941,315,,
Uttarakhand,8762,8303,459,,
West Bengal,6860,5249,1611,,
